dataset_name,fold_id,bucket_id,parent_bucket_id,level,status,weak_reasons,effective_bucket_id,threshold_source_bucket,n_train,n_val,pos_val,neg_val,score,parent_score,gain,alpha,beta,stats_regret,stats_precision,stats_recall,stats_f1,stats_bac,stats_bnd_ratio,stats_pos_coverage,stats_n_samples,stats_auc
adult_bttwd,1,ROOT,,0,strong,[],ROOT,ROOT,18233,7815,1882,5933,0.4784262562385489,,,0.5,0.2,0.15393474088291748,0.7658536585365854,0.667375132837407,0.7132311186825668,0.7315469967237769,0.1617402431222009,0.20985284708893154,7815.0,0.9291556368108419
adult_bttwd,1,L1_age=young,ROOT,1,strong,[],L1_age=young,L1_age=young,3581,1546,19,1527,0.6804378373555784,0.4784262562385489,0.2020115811170295,0.7,0.6,0.00889391979301423,1.0,0.5263157894736842,0.6896551724137931,0.7628304553131355,0.000646830530401035,0.00646830530401035,1546.0,0.982559542274153
adult_bttwd,1,L1_age=old,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,6290,2673,993,1680,0.43337636200572127,0.4784262562385489,-0.045049894232827625,0.5,0.2,0.2031425364758698,0.7805405405405406,0.7270896273917422,0.7528675703858185,0.6840805279815854,0.23269734380845492,0.3460531238309016,2673.0,0.9077288040090155
adult_bttwd,1,L1_age=mid,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,4768,2048,369,1679,0.3678705406806231,0.4784262562385489,-0.11055571555792582,0.5,0.2,0.1505126953125,0.7429718875502008,0.5013550135501355,0.5987055016181231,0.6675923370311725,0.16064453125,0.12158203125,2048.0,0.9095691880087353
adult_bttwd,1,L1_age=very_old,ROOT,1,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,3594,1548,501,1047,0.3924380021342082,0.4784262562385489,-0.08598825410434069,0.6,0.3,0.20978682170542637,0.8042328042328042,0.6067864271457086,0.6916951080773607,0.690212697813542,0.1789405684754522,0.2441860465116279,1548.0,0.884813944222348
adult_bttwd,1,L1_age=old|L2_education=high,L1_age=old,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,2992,1280,541,739,0.42252381086564483,0.43337636200572127,-0.010852551140076439,0.5,0.2,0.22890625,0.7411971830985915,0.7781885397412199,0.7592425608656448,0.672585474200786,0.215625,0.44375,1280.0,0.8865654991633295
adult_bttwd,1,L1_age=mid|L2_education=high,L1_age=mid,2,strong,[],L1_age=mid|L2_education=high,L1_age=mid|L2_education=high,2416,990,241,749,0.4486056214317084,0.3678705406806231,0.08073508075108532,0.4,0.3,0.1851010101010101,0.7031963470319634,0.6390041493775933,0.6695652173913044,0.7487410600025484,0.07171717171717172,0.22121212121212122,990.0,0.9035283559268513
adult_bttwd,1,L1_age=mid|L2_education=mid,L1_age=mid,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,1925,884,86,798,0.22571015585721466,0.3678705406806231,-0.14216038482340843,0.6,0.2,0.103789592760181,0.9545454545454546,0.2441860465116279,0.3888888888888889,0.5763536748848866,0.11877828054298642,0.024886877828054297,884.0,0.8826062248644868
adult_bttwd,1,L1_age=young|L2_education=mid,L1_age=young,2,weak,"[""insufficient_improvement_over_parent""]",L1_age=young,L1_age=young,1682,734,4,730,0.6625794732061762,0.6804378373555784,-0.01785836414940223,0.5,0.4,0.004087193460490463,1.0,0.5,0.6666666666666666,0.75,0.0,0.0027247956403269754,734.0,0.9839041095890411
adult_bttwd,1,L1_age=very_old|L2_education=mid,L1_age=very_old,2,weak,"[""insufficient_improvement_over_parent""]",ROOT,ROOT,1574,696,151,545,0.1491174055829228,0.3924380021342082,-0.2433205965512854,0.7,0.3,0.19755747126436782,0.9038461538461539,0.31125827814569534,0.4630541871921182,0.561133726228811,0.23275862068965517,0.07471264367816093,696.0,0.8537274439516375
adult_bttwd,1,L1_age=young|L2_education=low,L1_age=young,2,weak,"[""invalid_structural_score""]",L1_age=young,L1_age=young,74,45,0,45,,0.6804378373555784,,,,,,,,,,,,
adult_bttwd,1,L1_age=mid|L2_education=top,L1_age=mid,2,strong,[],L1_age=mid|L2_education=top,L1_age=mid|L2_education=top,311,124,42,82,0.49224173131890575,0.3678705406806231,0.12437119063828267,0.7,0.6,0.20161290322580644,0.7837837837837838,0.6904761904761905,0.7341772151898734,0.7659698025551684,0.08064516129032258,0.29838709677419356,124.0,0.9099883855981417
